orgaoId:ID(Orgao),nome
AMAZONPREV,AMAZONPREV
APOSENTADOS_ALEAM 21-21-25-214,APOSENTADOS_ALEAM 21-21-25-214
APOSENTADOS_EXECUTIVO 21-21-25-363,APOSENTADOS_EXECUTIVO 21-21-25-363
APOSENTADOS_PGJ 21-21-25-394,APOSENTADOS_PGJ 21-21-25-394
APOSENTADOS_TCE 21-21-25-402,APOSENTADOS_TCE 21-21-25-402
APOSENTADOS_TJA 21-21-25-455,APOSENTADOS_TJA 21-21-25-455
ARSEPAM,ARSEPAM
CASA_CIVIL,CASA_CIVIL
CASA_MILITAR,CASA_MILITAR
CBMAM,CBMAM
CB_CIVIS,CB_CIVIS
CETAM,CETAM
CGE,CGE
CSC,CSC
DEFESA_CIVIL,DEFESA_CIVIL
DETRAN,DETRAN
ERGSP,ERGSP
FAAR,FAAR
FAPEAM,FAPEAM
FCECON,FCECON
FEH,FEH
FEPIAM,FEPIAM
FHAJ,FHAJ
FHEMOAM,FHEMOAM
FMT-AM,FMT-AM
FUHAM,FUHAM
FUNATI,FUNATI
FUNTEC,FUNTEC
FVS,FVS
IDAM,IDAM
IMPRENSA_OFICIAL,IMPRENSA_OFICIAL
IPAAM,IPAAM
IPEM-AM,IPEM-AM
JUCEA,JUCEA
OUVIDORIA,OUVIDORIA
PENSIONISTAS_ALEAM,PENSIONISTAS_ALEAM
PGE,PGE
PM_ATIVOS,PM_ATIVOS
PM_CIVIS,PM_CIVIS
POLICIA_CIVIL,POLICIA_CIVIL
PROCON,PROCON
PRODAM,PRODAM
SEAD,SEAD
SEAP,SEAP
SEAS,SEAS
SEC,SEC
SECOM,SECOM
SECT,SECT
SEDECTI,SEDECTI
SEDEL,SEDEL
SEDUC,SEDUC
SEDURB,SEDURB
SEFAZ,SEFAZ
SEGOV,SEGOV
SEINFRA,SEINFRA
SEJEL,SEJEL
SEJUSC,SEJUSC
SEMA,SEMA
SEMIG,SEMIG
SEPA,SEPA
SEPCD,SEPCD
SEPED,SEPED
SEPET,SEPET
SEPROR,SEPROR
SERFI,SERFI
SES,SES
SETRAB,SETRAB
SGVG,SGVG
SNPH,SNPH
SRMM,SRMM
SSP,SSP
SUHAB,SUHAB
UEA,UEA
UGPADEAM,UGPADEAM
UGPE,UGPE
SECTI,SECTI
IPEMAM,IPEMAM
AMAZONASTUR,AMAZONASTUR
FMT,FMT
PGGM,PGGM
SPA_COROADO,SPA_COROADO
UPACN,UPACN
SEIND,SEIND
